相关编号,决定税号,商品名称（中文）,商品名称（英文）,商品名称（其他）,商品描述,发布单位
R-2-2200-2024-0233,84798200,纳米颗粒制备系统,NanoAssemblr Ignite Instrument,纳米药物制备系统,"该商品为纳米颗粒制备系统(NanoAssemblr Ignite Instrument）, 品牌：PRECISION NANOSYSTEMS；原产国：加拿大；该产品由机壳、微流控芯片、收集管、推进器、托板、旋转块、芯片适配器、电子控制部件和触控屏等构成。其中微流控芯片为专利设计的NxGen芯片，材质为环烯烃聚合物，属于一次性耗材，需额外单独订购，此次进口不包含。另外，用户还可根据实际需求，额外选配加热模块和注射器延长器以提高操作的便利性，此次进口不包含。功能：利用特有的微流体技术，使纳米颗粒能够可控、自下而上地进行分子自体合成，完成粒子结构包裹，不产生任何化学反应。可快速制备核酸脂质纳米粒、脂质体、聚合物纳米粒等多种纳米粒子，并可实现核酸、多肽、蛋白、疏水性药物等药物活性分子的高效包被。工作原理：利用微流控芯片上复杂的通路设计，使得配制好的水相和有机相液体分别从微流控芯片的两个注入口流入，并在特定的流速下交汇融合，溶液与水相间表面积增加，两者扩散距离减小，3ms内完成完全融合，引起液体极性的快速改变，并进行粒子结构的包裹，引发纳米粒自合成，最终合成所需的纳米颗粒，在此过程中物质未发生化学反应。用途：用作药物原料的预制备，实现脂质纳米颗粒的可控精确合成。操作方法：设备按照制备要求预设流速比、总流速、进样体积、废液体积、稀释比例等参数，将配制好的水相和有机相液体预置注射器中并将注射器预置到设备内部，通过螺杆推动注射器进样，在层流条件下，两相以独立液体流入微流控芯片，通过微流控芯片通路的微流特性，重复控制两相液体交汇融合，交汇融合过程中，溶液与水相间表面积增加，两者扩散距离减小，3ms内完成完全融合，引起液体极性的快速改变，从而引发纳米粒自合成。该商品进口后主要用于临床前基因药物的开发。",上海海关
R-2-0100-2024-0046,90049090,漥田眼镜,Kubota Glass,,结构组成：眼镜主体由光学镜片及眼镜框架组成。光学镜片由柔性PCB、8个寄存器、8个LED、8面镜、8个光触媒、8个微透镜和光圈以及光学窗口等配件构成，通过接近自然光的LED灯的投射，将8个白色的交叉光点投射到眼球内的焦平面上，中央的8面镜将白色光点折射到用户的视网膜上，从而呈现出一个犹如在户外的自然光视觉环境。眼镜框架内置环境光传感器、电源及其按钮、连接器，商品还配备专用收纳盒、充电盒、电源适配器、USB数据线、眼镜布、保修卡。用途：室内就座并静止时可使用，使用对象为6岁以上（包含6岁）。通过AR技术在视网膜周围再现自然光，呈现出一个犹如在户外的自然光视觉环境，每天佩戴1-2小时即可呵护过度使用的眼睛。原理：使用AR技术，即通过搭载的可投射出类似于自然光的小型LED、8面镜等配件，在视网膜周围投射出一个犹如在户外的自然光视觉环境。,北京海关
R-2-5100-2024-0064,85094090,便携咖啡研磨机,PORTABLE COFFEE GRINDER,无,1:牌子：NICOH；型号：NK-M08。2:主要材质包括：ABS+不锈钢+铝合金+玻璃。3:主要用途：研磨咖啡豆。4:工作原理：将咖啡豆倒入磨仓轻轻摇平，锁紧卡扣固定，打开开关，开始研磨，不存在保温功能，有一个小电机驱动工作。,广州海关
R-2-5100-2024-0061,76012000,铝稀土合金,Aluminium Grain Refiner,,合金的成分为：含稀土金属8.68%（镧:3%；铈:5.68%），含铝91.32%；型号：AlRe10；合金铸锭块重约6公斤/块，用于铝合金熔铸，铸造过程中细化铝合金晶粒，改善铝合金型材表面光洁度，提高铝合金型材的导电率。在工业纯铝高温熔融状态下加入8.68%重量百分比的混合稀土（镧铈）金属块，待混合稀土金属块完全熔化并充分搅拌后，浇入模具铸造出约6公斤/块的铝稀土合金。可用化学分析法检测出合金中的稀土的含量。提供的检测报告上的样品铝稀土合金金属丝与申请商品归类的铝稀土合金的成份一致。,广州海关
R-2-5100-2024-0060,90314990,三维激光扫描仪,3D LASER SCANNER,,三维激光扫描仪由扫描仪主机、三脚架基座和数据采集和预处理软件等组成。扫描仪主机内含激光发射器和激光接收器，通过在主机触摸屏设置相关测量参数，操控主机向目标发射安全的脉冲激光直接照射到被测物体表面，经反射后到仪器上的传感器接收被测物体表面上反射的激光波束，同时仪器中的微处理器再计算发出激光波束和接收到反射回来激光波束的时间差，就可以得到被测物体表面到扫描仪之间的准确距离。同时三维激光扫描仪内置了高精度的水平和垂直方向的角度度盘，从而记录出待测物体和三维激光扫描仪主机的空间夹角，通过多点测量距离和角度信息，最终可以得到高精度的三维坐标，实现对地物的三维几何构建功能。功能：获得地形和地物点的三维坐标数据和影像数据，构建高精度高分辨率数字模型。用途：用于地形地物测绘等领域测量物体体积和空间位置等信息。如建筑物测量、隧道测量、土木工程应用及工程监测、城市三维建模、数字城市建模等。,广州海关
R-2-8600-2024-0028,21022000,冷冻三角褐指藻,Phaeodactylum Tricornutum Frozen Biomass,,冷冻三角褐指藻是采用创新生物技术由人工培养的三角褐指藻为原料，经过离心、冷冻干燥的生三角褐指藻（Phaeodactylum tricornutum），呈褐色粉状物，具有藻类特有的气味，未添加国家明令禁止的添加物和化学制品。其富含活性成分为岩藻黄素（fucoxanthin）。岩藻黄素（Fucoxanthin）关键信息：分子式：C42H58O6;分子量：658.91；CAS号：3351-86-8。,昆明海关
R-2-8600-2024-0027,44034990,蚬木砧板,Burretiodendronhsienmu,,蚬木砧板、用来做厨房用具、木制、编织袋,昆明海关
R-2-8000-2024-0016,38249999,磨砂微丸,Silicalets,,"由二氧化硅、甘露糖醇、蔗糖、玉米淀粉、聚乙烯醇、钛白粉、云母、CI 77510、CI 77007等构成，不溶解于日化成分中，可以起到磨砂的作用；产品由甘露糖醇和蔗糖包裹，并用淀粉改善产品流动性，使其圆润不伤肤，在磨砂的同时保护皮肤角质层。商品规格20-30mesh，用袋子和纸箱保存，商品由二氧化硅（含量50-54%，磨砂剂）、甘露糖醇（含量15-18%，载体材料）、蔗糖（含量6-8%，粘合剂）、玉米（ZEA MAYS）淀粉（含量6-8%，改性剂）、聚乙烯醇（含量5-8%，粘合剂）、CI 77891（钛白粉，含量4-6%，着色剂）、云母（含量4-6%，着色剂）、CI 77510（亚铁氰化铁含量0.1-1%，着色剂）、CI 77007（群青蓝含量0.1-1%，着色剂）经由原料混料-搅拌-流化床喷雾-流化床造粒等工艺制作而成，PH值4-8,干燥失重≤8%，堆密度300-800 kg/m3",重庆海关
R-2-8000-2024-0015,38249999,清凉丸,Super Cool,,"由甘露糖和纤维素包裹清凉剂薄荷油薄荷醇构成，可用于牙膏之中，碎裂时释放清凉剂，带来清凉感，商品规格14-18mesh，用袋子和纸箱保存，商品由甘露糖醇（含量40-60%，载体材料）、微晶纤维素（含量20-30%，粘合剂）、蔗糖（含量10-20%，粘合剂）、玉米（ZEA MAYS）淀粉（含量1-5%，改性剂）、羟丙基甲基纤维素（含量1-5%，粘合剂）、CI 77289（脱氢铬绿，含量1-5%，着色剂）、薄荷醇（含量1-5%，清凉剂）、薄荷烷甲酰乙胺（含量1-5%，清凉剂）、辣薄荷（MENTHA PIPERITA）油（含量0.1-1%，清凉剂）经由原料混料-搅拌-流化床喷雾-流化床造粒等工艺制作而成，PH值4-8,干燥失重≤8%，堆密度700-900 kg/m3。",重庆海关
R-2-8000-2024-0014,38249999,凝胶花瓣,Petals,,人工合成凝胶状花瓣，可用于啫喱精华中，在泵出时碎裂在皮肤上，增加产品肤感，滋润皮肤，起到保湿的作用，同时可以点缀产品外观。由琼脂和藻酸钙成膜形成稳定结构，在配方中稳定且无微生物污染风险，主要成分均来自植物，可生物降解无残留。商品规格9-15mm，用塑料瓶子保存于水中，商品由水（含量85-95%，溶剂）、丁二醇（含量2-10%，保湿剂）、CI 73360（红30色粉，含量0.05-0.1%，着色剂）、CI 77891（二氧化钛，含量0.1-0.5%，着色剂）、藻酸钙（含量0.5-1%，成膜剂）、结冷胶（含量0.5-1%，成膜剂）、琼脂（含量0.5-1%，成膜剂）、辛甘醇（含量0.25-0.5%，保湿剂）、1，2-己二醇（含量0.25-0.5%，保湿剂）经由原料配料-原料混料-搅拌\匀质-滴制成型-水中反应制粒等工序制成，PH值5-8,重庆海关
R-2-8000-2024-0013,38249999,黑色油滴颗粒,Capsulets,,由琼脂和羟丙基甲基纤维素成膜从而形成稳定结构，在配方中稳定且无微生物污染风险，主要成分均来自植物，可生物降解无残留，该颗粒可增加产品肤感，滋润皮肤和头皮，有以下作用：1.抗氧化作用：所含的长链脂肪酸所表现出的良好的抗氧化性，肤感轻盈还不油腻；2.滋润保湿作用：封闭性油脂，在皮肤表面形成一层锁水薄膜，紧紧锁住皮肤水分滋养皮肤，同时还能舒展皮肤纹理，让皮肤保持柔顺光滑；3.修复作用：可以补充皮肤屏障所需要的脂肪酸，起到修护屏障的作用。可以用于护发护肤产品中。商品规格3-5mm，用塑料瓶子保存于丁二醇中，商品由水（含量65-75%，溶剂）、辛酸葵酸甘油三酯（含量10-20%，保湿剂）、白池花籽油（含量1-5%，护发护肤剂）、丁二醇（含量2-10%，保湿剂）、CI 77019（云母，含量0.01-1%，着色剂）、CI 77891（二氧化钛，含量0.01-1%，着色剂）、CI 77491（氧化铁红，含量0.01-1%，着色剂）、CI 77499（氧化铁黑，含量0.01-1%，着色剂）、硅石（含量0.01-1%，改性剂）、氧化锡（含量0-0.01%，珠光剂）、琼脂（含量0.1-1%，成膜剂）、羟丙基甲基纤维素（含量0.1-1%，成膜剂）、香精（含量0.1-1%，芳香剂）、透明质酸钠（含量0.01-0.1%，保湿剂）、苯氧乙醇（含量0.1-1%，防腐剂）经由原料配料-原料混料-搅拌\匀质-滴制成型-水中反应制粒等工序制成，PH值5-8.,重庆海关
R-2-4700-2024-0067,85359000,触发开关管,Switching Spark Gap,,基本组成及材质：触发电极、临近极、对位极和上釉的主瓷管以及密封在其中的工艺气体。工艺流程：临近极和触发极的钎焊 & 对位极的钎焊 ：临近极和触发极+对位极+上釉主瓷管通过银铜焊料焊接-产品漏气检验-产品充工艺气体-产品电参数测试-表面镀镍。产品功能：在临近极和对位极之间按设定频率加上一个电压，在触发线路，同步按设定频率在触发极上加一个电压（触发电压），开关管会按设定的频率被击穿，击穿时线路接通（实现开的功能），没有击穿时线路是断开的（这时是关的功能）。产品应用：TS触发开关管在体外碎石机上与高压电容以及负载线圈等一起工作，在线路中起开关的作用。,武汉海关
R-2-0100-2024-0043,90181990,心磁图仪,Magnetocardiography,,1.产品的结构组成：心磁图仪由磁场屏蔽系统、磁场探测阵列、可移动检查床、心磁图软件（版本：V1）、主控系统组成。2.商品功能：该产品用于采集、记录人体心脏的磁场信号。3.工作原理：该产品用来采集和记录人体心脏的磁场信号。心磁信号是在心脏跳动的过程中由心肌细胞内离子活动产生，且信号通常非常微弱，只有几十pT量级，相当于地球磁场（大约为±50000nT）的百万分之一。本产品利用装配在产品内部的原子磁力计作为磁场传感器，针对人体心脏发出的磁场信号进行测量，将探测到的心磁信号转换成为电压信号，经控制电路输出，送入到数据采集卡，供计算机进行数据预处理及成像。本产品的磁场屏蔽系统可有效地消除地磁场和其他外界磁场噪声的干扰，为磁场传感器提供良好的工作环境。相比于心电信号，心磁信号传输不会受到人体组织的干扰，可以更加敏锐地捕获到某些心电图所不能探及的心肌电活动引起的非常微弱的磁信号，因此能够更加灵敏的检测出心血管系统早期病变，具有高度的敏感性和特异性，是一种对心脏电活动引起的微弱磁场信号进行记录并显示的新型无创检查设备。4.商品用途：用于医疗机构和医疗单位的日常心脏检查，适用于需要进行心脏磁场信号测量的人群。,北京海关
R-2-5300-2024-0036,84151022,精密空调,Precision air conditioning,,品牌及型号：Envicool 牌精密空调，CyberMate 530 机房专用空调产品。用途：是针对交换机房和移动机房、计算机房、数据中心（IDC）、高科技环境及实验室、工业控制室和精密加工设备、标准检测室和校准中心、UPS 和电池室、生化培养室、医院和检测室、实验室及工业洁净室等应用场所开发的机房专用空调系列，机组性能参数完全按照机房精密空调要求设计制造，产品具有高节能率、高可靠性、高能效比、多冷量段、多送风方式等特点。组成：该空调由制冷压缩机（变频）、EC 风机、蒸发器等关键元器件构成。备注：该空调设计上可选配加湿器，但是在该空调实际发货时无加湿器，也没有其他调节湿度的装置。制冷量：30.9KW。无冷热换向阀门。安装方式：置于地上。空调是分体式的（内外机分开），内外机一同报检。,深圳海关
R-2-3300-2024-0022,35069190,贴片膜,Die Attach Film,,"“贴片膜”，型号：HR-420T-500-N45-150-ICP，品牌：RESONAC，用途:用于集成电路贴片工序，将芯片粘着于基板。经烘烤后固化起到粘结作用。工作原理：贴片膜表面有覆盖层，底部有衬基层，中间为贴片膜；使用时先将覆盖层去除,后在晶圆贴膜工序中将工作站台温度设定为40-50度,通过滚轮滚动将贴片膜一面贴在未切割的晶圆背面,贴膜后转送至切割工站,同晶圆一起切割成单一的芯片,在芯片贴片工站中调节吸嘴力度并将工作台温度调节至80-100度,吸嘴吸起,将切割后的芯片及贴片膜剥离衬基层,通过贴片膜的另一面将芯片贴附于基板上,随着温度继续升高,贴片膜变成半结晶粘合剂,强力粘着基板，完成芯片贴片工序。成分含量：环氧树脂21-41%(粘合剂主要成份）+酚醛树脂15-25%+二氧化硅35-45%+(甲基)丙烯酸酯共聚物10-20%+硅烷醇衍生物<1%(作为增粘剂),4.37kg/卷；片状；为芯片及基板之间封装粘结的具有一定厚度的固体片状粘合剂,无基材层,该粘合剂在低温及常温状态下具有一定粘性,但性状不活跃。",合肥海关
R-2-5100-2024-0058,73269090,接线盒密封连接件,Raintight Compression Connectors,,"型号：CCR50 、CCR75 、CCR100、CCR125、CCR150、CCR200、CCR250、CCR300、CCR350、CCR400  。用途：用于电源线接线盒与电源线线管的连接  材质：钢铁+丁腈橡胶+尼龙PA66  。产品由7个部件组成：齿圈（钢铁制）1个；橡胶圈（橡胶制）1个；管体（钢铁制）1个；密封圈（尼龙）1个；摩擦圈（钢铁制）1个；弹圈（钢铁制）1个；螺母（钢铁制）1个。产品的各个比例为：97.7%钢材，2%橡胶，0.3%尼龙。货物产品加工方法工序为：1，切断机切断管料（按客户要求尺寸切断管料长度，齿圈，橡胶圈，管体，密封圈，摩擦圈，弹圈，螺母,）；2，倒角机倒角（管体，螺母）；3，用模具冲压缩口管体（管体，螺母）；4，用模具冲压成型（齿圈，弹圈，摩擦圈）；5，滚牙机滚牙（齿圈，管体，螺母）；6，电镀厂电镀(齿圈，管体，摩擦圈，弹圈，螺母,)；8，注塑（橡胶圈，密封圈）7，人工或机器组装（齿圈，橡胶圈，管体，密封圈，摩擦圈，弹圈，螺母,）",广州海关
R-2-4200-2024-0023,21069090,鸡蛋糕,Chicken cake,无,名称：鸡蛋糕规格：450g*20袋/箱   用途：菜肴制品   成分：鸡蛋液+辅料 生产工艺流程为：原料验收－使用无菌蛋液－配料－熟制成型（将调制好的蛋液放入长方形的煎制锅中，锅具加热，煎制成长方形蛋块）－冷却－真空包装－消杀-内包装验收－过敏原标识检查－速冻－金属探测－外包装－外包装验收－入库.储存产品配料：全蛋液82%、辅料18%； 辅料中包含：饮用水8.1%、绵白糖6.5%、大豆油1.8%、二淀粉0.6%、海藻糖0.4%、食用醋0.4%、食用盐0.1%、β-胡萝卜素0.1%,青岛海关
R-2-0200-2024-0031,69032000,滑动水口,slide gate plate,滑动闸板,"型号：13QC；加工工艺：1、主要原料板状刚玉（氧化铝含量99%以上）和锆刚玉（氧化锆含量40%其余是氧化铝）与结合剂碱性酚醛树脂（起到在高温下与刚玉易于烧制），在全自动配料线进行配料制作成泥料，经压力机进行毛坯成型，毛坯成型产品进入全自动干燥窑内，经干燥后进行烧制工序。2、干燥后的毛坯在高温烧成窑炉内，经高温1450度烧制，烧制后产品经检测合格后转浸沥青工序。烧制后产品的成分含量：氧化铝 Al2O3% ≥80, 氧化锆 ZrO2% ≥6, 碳C % ≥3, 氧化硅SiO2%≥7。3、烧制后产品在浸沥青罐中抽真空，使沥青浸入产品中（目的是减少成品中的气孔），然后经干馏清碳检测后进入后续工序。4、在浸沥青后的产品上组装钢壳(钢壳起到保护功能)，进行修边、磨面。产品磨面加工后检验平整度和尺寸，合格后转涂布工序用滑动水口油（主要成分是碳和其他易挥发的成分）进行表面涂布（起到光滑产品作用）。最后产品进行修面，检验理化指标，尺寸，外观等，符合要求包装入库。最终成品的成分含量：氧化铝 Al2O3% ≥72, 氧化锆 ZrO2% ≥6, 碳C % ≥3, 氧化硅SiO2%≥7，铁Fe%≥10。使用方法：安装在钢炉的出水口上， 通过开关阀门，让滑动水口通过固定轨道移动，通过上下滑动水口上的孔，控制钢水流入到钢坯槽中的速度。功能：是钢水的控制装置，通过上下滑动水口上的孔部分的重合程度来控制钢水浇注速度，起到钢水流量的控制调节作用，使流入和流出的钢水平衡。能够耐受1500-1750度的钢水。",天津海关
R-2-2200-2024-0231,29371900,甘精胰岛素冻干粉（B02）,Freeze-dried Powder of Insulin Glargine（B02）,,成分：95-105%甘精胰岛素，≤4%水，＜0.5%锌；来源和制备工艺：通过基因工程的方法构建含甘精胰岛素表达基因的质粒，将此含有甘精胰岛素表达基因的质粒的转入宿主大肠杆菌，经检定可以正常表达甘精胰岛素后，将含有甘精胰岛素目的基因的大肠杆菌工程菌进行发酵，得到的包涵体经过变复性、离子交换层析、反相层析纯化后，得到高纯度的甘精胰岛素溶液，最后通过结晶及冻干.获得甘精胰岛素冻干粉.,上海海关
R-2-2200-2024-0230,73071900,管接头,"Fitting,Tube",,材质：SUS316不锈钢，构成：L型管路，内螺纹式管接头，管路部分为铸造，螺纹管接头为锻造，表面做过电镀防锈处理。功能：用于管路连接，连接方式为螺纹连接，一端安装在厂务段供气管路，一端与机台气体柜连接。用途：半导体制造设备扩散炉气体管路的连接。,上海海关
R-2-2200-2024-0226,23099090,美瑞高-藻粉,Meriden-Stim Algae,,"规格：25公斤/袋，型号：无，外观：深褐色粉末，加工方式：通过对甘蔗进行培养，生产出裂壶藻粉，然后和硅藻土及石粉混合而成；成分含量及用途：裂壶藻粉＞16%，提供主成分DHA,具有抗炎、抗氧化、促免疫功能，能够平衡动物体内的脂肪酸组成，利于健康；硅藻土＞ 3% 载体，抗结块剂；石粉 ＞79%  载体，石粉来源于石灰石。",上海海关
R-2-5100-2024-0055,73269090,煤气管压紧件,stiffener,无,1.成份: 316不锈钢 2.牌子：无牌  型号：无型号 3. 规格尺寸:  整体成圆圈状.精密拉伸=成型-打磨  4. 加工程度：配件.5. 用途：用于压紧硬尼龙煤气管,广州海关
R-2-3300-2024-0021,21069090,谷美特 富硒营养强化复合粉,Gourmet Selenium-rich nutrition fortified compound powder,,配料：植物硒蛋白（30%）、富硒藜麦胚芽（20%）、富硒燕麦胚芽（13%）、富硒玉米胚芽（11%）、富硒西兰花（8%）、植物甾醇、蓝莓、沙棘、苦瓜、山药、胶原蛋白、低聚果糖、竹叶黄酮；科学合理地补充有机硒,合肥海关
R-2-3300-2024-0019,25309099,硅矿石,Silicon ore,,含量：Si-22% Fe-7% Al-2% Hg-0.61% K-0.6% Na-0.4% Ti-0.4% S-0.3% Pb-0.3% Ca-0.3% Mg-0.1% W-0.06% Zr-0.04% P-0.03% Ce-0.02% Ba-0.02% Mn-0.01% Sr-0.01% Zn-0.007 Cl-0.006 Cr-0.005% Rb-0.004% Cu-0.003% Nb-0.001%颗粒状硅矿石，无放射性有害元素。,合肥海关
R-2-8000-2024-0011,85444221,线缆,POWER CORD,,结构组成：该线缆为带接头线缆。由端子+铜线+PVC+塑料壳等构成，性能指标:电流7A、额定电压125V。由3根芯线并排组成，3根芯线相互未接触，其中中间的芯线有2层绝缘层，其余2根芯线只有一层绝缘层。线材两端已加工连接电源用的连接头，头插和尾插均为3PIN。结构原理：由中间芯线外包PVC绝缘层，再与另外2根铜芯线押出成扁平的线材，线材两端加上端子、塑料壳后冲压成型头插与尾插，从而加工成连接电源用带连接头的线缆。线材加工流程为先押中间绿线，再合并押出外被。因外被同时成型的，三根芯线不能撕开。功能：该线缆用于笔记本电脑电源线，通过连接电源将电流输送至笔记本电脑。长度：1.8米；线材截面尺寸：3.65±0.1X8.65±0.3mm。标准:线材美规标准UL 62；插头及尾插美规标准：UL 817/UL 498。,重庆海关
R-2-5200-2024-0056,73249000,墙排排水管,Wall drainage pipe,,材质：304不锈钢；用途：一般用于卫生间连接洗脸盆与墙壁排水管；加工方法：管状加工，切割，焊接，抛光，电镀铬色;安装方法：产品已完全加工成型，可以直接安装使用，一端固定在墙面，一端连接洗脸盆下水口;产品规格：产品呈不规则U型，全长304.4MM,黄埔海关
R-2-4200-2024-0022,22029900,Reliefia植物饮品,Reliefia Plant drinks,,"性能：活血化瘀，理气止痛，温经散寒。经前或月经期出现下腹冷痛，身冷，下腹坠胀，腰骶酸痛，情绪不宁，食欲差，乏力，头晕，头痛或其他不适等。配料: 水79%、白砂糖4.4%、当归1.8%、玫瑰花(重瓣红玫瑰)1%、白芷1%,山楂1%、乌梅2%、肉桂1.8%、干姜1%、甘草2%、紫苏1%、葛根1%、小茴香1%、橘皮1%、薄荷1%。  包装 :50ml/瓶，12瓶/盒，120瓶/箱。饮用方法:直接饮用（本品每日食用不超过2瓶）。不适宜人群:孕妇、哺乳期妇女及14周岁以下儿童不宜食用",青岛海关
R-2-0100-2024-0040,76031000,铝硅合金粉末,Aluminum Silicon Alloy Powder,铝合金粉末AlSi10Mg    Aluminum alloy powder AlSi10Mg,规格:AlSi10Mg。型号:LB-PBF TMS05-054105。结构原理:金属铝与非金属硅、金属镁的加工合金物。性能指标:粒度小于63微米的金属合金粉末。功能:3D打印零件胎体粉末。用途: 制造工业3D打印零件用原料金属粉末。成份:铝含量：88.0-91.0%，硅含量：9.0-11.0%，镁含量0.2-0.5%。加工方法:雾化工艺，具体流程为配料-熔化-雾化制粉-筛分-合批-包装，其中雾化制粉为关键过程，加热功率和转速为重要参数，通过控制这两种参数获得相应的球形粉末。分析方法:激光粒度检测法。包装：5kg/内袋，25kg/外桶。结构式：AlSiMg。CAS号：Al：7429-90-5，Si:7440-21-3，Mg：7439-95-4。图片：球形或类球形、银灰色固体粉末。,北京海关
R-2-0100-2024-0038,35079090,蛋白酶(百利美),STROTEASE SP100,蛋白酶     PROTEASE,性能指标：主要性能指标为酶的活性，以U/g表示。      用途：1、提高饲料消化和利用率；2、增加营养价值；3、降低饲料成本；4、提高动物生产性能；5、消除饲料中的抗营养因子；6、降低环境污染。       成份：蛋白酶90%，淀粉10%        CAS号：9025-49-4     条形码（GTIN）：无   二维码：无    出厂商品序列号：无       结构原理：由一种或多种酶制剂加载体经物理混合而成。           功能：通过促进动物消化吸收、降低饲料成本、减少排泄物对环境的污染、增强饲料的营养等方式，提高养殖效益，实现可持续发展。         分析方法：分光光度法检测,北京海关
R-2-0100-2024-0037,84141000,分子泵,Turbomolecular pump,涡轮分子泵,"分子泵 型号：TMP-V2304LM。结构：泵主体和控制面板。原理：利用高速旋转的叶片离心力将游离气体分子驱赶至出口处，获得最大抽气能力。功能：分子泵是将靠高速旋转的动叶片和静止的定叶片相互配合来直线抽气。气体抽出实验室装置中的气体和蒸汽,通过在泵内创建一个低压环境,然后利用不同的技术将气体分子移动到出口端,从而将气体抽出。用途：用于镀膜机腔室抽气。",北京海关
R-2-5300-2024-0034,90192020,呼吸机模块,Macawi Respiratory Module,,该产品可以用于从新生儿到成年人，从重症监护室到便携式呼吸机都可以。产品的结构组成：涡轮风机、氧气浓度调节比例阀、呼气正压比例调节阀、吸入流量传感器、气道压力传感器、气道安全电磁阀、环境温度监测传感器、高压氧压力传感器、氧浓度监测传感器、雾化装置点接口、呼吸控制板。需要再装上螺纹管、旋钮、 开关、 外壳就可以组成整机。功能：压力、流量、通气量监控，呼气、吸气触发，湿化控制输出，呼吸管路校对，氧气传感器交互，系统测试，系统和病人回路校对，呼气阀控制，安全阀控制。原理：（通电后）通过涡轮风机高速旋转，压缩周围空气，给呼吸机带来气体压力，涡轮机的转速通过电路板控制。,深圳海关
R-2-4200-2024-0021,44079930,北美红桤木定宽料刷子柄,Cut-Stock Hardwoods Boards of Red Alder,,工艺流程:1、多片锯，纵切去掉板材的边皮，切出不同宽度的板；2、优选锯，把从多片锯冲出的板材，根据不同规格的要求，横切截掉板材上的不合格特征，最后截出不同长度的定宽料；3、砂光工序，拼板根据厚度要求，进行砂光。用途：成品客户收到后用于制作刷子柄。主要成分：原材料是从美国进口的北美阔叶木厚板材，产品英文名称Red ALder，拉丁文Alnus Rubra。成品厚度范围25.4-31.75mm，宽度范围：45-100mm，长度范围：157-340mm，例如：25.4*85*215mm，25.4*100*230mm，25.4*60*340mm，25.4*90*205mm。最终出口时会摆放在经过热处理的托盘上，托盘上印有热处理标识。外面缠绕膜以及打包进行包装处理。,青岛海关
R-2-6800-2024-0003,84798200,浸没式曝气机,submersible aerator,,"1规格、型号：AER-GS 2200-24, 品牌：AQUA TURBO。2结构：由以下部件组成，提升钢索、电缆、电缆导索、空气供应软管、管夹、固定气管、电缆保护套管、固定套、提升支架、浸没式电机、浸没式减速器、阳极、支架、轮轴、叶轮、扩散气管、管夹、底板、橡胶支脚。3作用：本浸没式曝气器用于本司污水处理系统（污水流程：格栅机-预沉池-集水池-调节池-初沉池-生化池-二沉池-转盘式微过滤器-达标排放）的生化处理好氧阶段，曝气器置于生化池内底部，浸泡在污水中，向生化池中的污水提供足够的氧气，以保证污水处理工艺的生化处理效果。4工作原理：外部配套的空压机（空压机是原有污水处理系统中的设备不在本次申请范围内）通过管道将压缩空气输送到曝气器叶轮下部，浸没式曝气器的叶轮由浸没式减速电机驱动，对水进行搅拌并把空气均匀散布在水中，形成微小的气泡。叶轮上的瓣片可对曝气器周围360度方向的水产生搅拌作用，叶轮底部的瓣片对扩散气管出来的空气进行切割，使形成微泡。均匀良好的微泡可有效提高和保障水中的溶解氧，降低供气设备的装机功率和动力的消耗，大大利于污水中溶解氧的控制，保证污水生化处理的效果，通过管道流到下一污水处理工序。",江门海关
R-2-3100-2024-0078,39249000,海绵擦,sponge,,功能，用途：日常浴室洗澡时清洁用 ；成分：PU ；加工方法：发泡，切割，印刷,宁波海关
R-2-5200-2024-0053,85176299,智能手表,SMART WATCH,,（1）物品名称：智能手表SMART WATCH ；品牌：COROS牌；型号：W331型；（2）规格：41.9*41.9*11.7毫米，重量30克；（3）材质：表面材质: 矿物玻璃;表带材质: 硅胶/织物;表壳材质: 高强度聚合物；（4）组件构成：高精度GPS芯片、心率和血氧传感器、1.2英寸矿物玻璃屏幕、支持Wi-Fi和蓝牙连接的电子模块、电池以及硅胶或尼龙材质的表带。（5）包装：手表本身、充电线、表带和用户指南等；（6）功能：①运动追踪：支持多种运动模式，精准记录运动数据。②心率监测：实时监测心率，提供心率区间和心率变化数据。③血氧检测：测量血氧水平，用于高海拔训练或呼吸健康监测。④睡眠监测：分析睡眠结构，包括清醒、REM、浅睡和深睡阶段。⑤GPS导航与定位：利用卫星系统进行精准定位和导航。⑥训练评估：根据运动数据评估训练负荷，预测恢复时间。⑦智能通知：接收和显示来自智能手机的通知信息。⑧音乐控制：通过蓝牙连接控制手机或其他设备上的音乐播放。⑨支付功能：支持支付宝离线支付，简化支付流程。⑩数据同步：通过Wi-Fi或蓝牙与COROS APP同步数据，便于数据管理和分析。特此说明主次功能之分：*主要功能：包括运动追踪、心率监测、GPS导航与定位以及训练评估。*次要功能：血氧检测、睡眠监测、智能通知、音乐控制、支付功能和数据同步。（7）用途：①运动监测与分析：提供跑步、骑行、游泳等运动的实时数据监测和分析。②健康监测：包括心率、血氧饱和度和睡眠模式的跟踪，关注用户健康。③日常活动跟踪：记录步数、卡路里消耗等。④户外运动导航：利用GPS进行路线规划和实时导航。 ⑤训练管理：提供训练负荷评估和恢复时间预测，帮助用户合理规划训练和休息。,黄埔海关
